Câu hỏi;Đáp án A;Đáp án B;Đáp án C;Đáp án D;Đáp án đúng;Chapter
Kỹ nghệ phần mềm là gì?;Là quá trình viết mã nguồn đơn giản.;Là ứng dụng cách tiếp cận có hệ thống, kỷ luật, định lượng để phát triển phần mềm.;Là chỉ việc thiết kế giao diện người dùng.;Là quá trình sửa lỗi phần mềm sau khi phát hành.;B;1
Đâu là pha đầu tiên trong quy trình phát triển phần mềm?;Thiết kế;Kiểm thử;Khảo sát yêu cầu;Triển khai;C;1
Mục tiêu chính của UML là gì?;Viết mã nguồn;Trực quan hóa, đặc tả, xây dựng và làm tài liệu cho các hệ thống phần mềm.;Kiểm tra hiệu năng hệ thống.;Quản lý nhân sự trong dự án.;B;1
Biểu đồ nào trong UML dùng để mô tả các tương tác giữa các đối tượng?;Biểu đồ lớp;Biểu đồ trạng thái;Biểu đồ tuần tự;Biểu đồ triển khai;C;1
Trong UML, biểu đồ lớp (Class Diagram) thể hiện điều gì?;Trình tự thời gian;Cấu trúc tĩnh của hệ thống;Hành vi động;Quy trình xử lý dữ liệu;B;1
Loại biểu đồ nào thể hiện luồng sự kiện của một quá trình?;Biểu đồ tuần tự;Biểu đồ hoạt động;Biểu đồ lớp;Biểu đồ thành phần;B;1
Phát biểu nào đúng về yêu cầu phi chức năng?;Liên quan đến tính bảo mật, hiệu năng, độ tin cậy.;Là các chức năng chính của phần mềm.;Là yêu cầu do khách hàng đưa ra trực tiếp.;Không quan trọng trong thiết kế.;A;1
Vai trò của người phân tích hệ thống là gì?;Viết mã nguồn.;Thiết kế giao diện.;Hiểu yêu cầu của người dùng và chuyển đổi thành tài liệu kỹ thuật.;Sửa lỗi phần mềm.;C;1
Mô hình thác nước (Waterfall) phù hợp với loại dự án nào?;Dự án yêu cầu thay đổi liên tục.;Dự án có yêu cầu rõ ràng, cố định từ đầu.;Dự án phát triển nhanh (Agile).;Dự án quy mô nhỏ, thử nghiệm.;B;1
Trong UML, ký hiệu hình thoi rỗng thể hiện mối quan hệ gì?;Kế thừa;Phụ thuộc;Tập hợp (Aggregation);Thành phần (Composition);C;1
Biểu đồ Use Case dùng để làm gì?;Mô tả chi tiết mã nguồn.;Xác định phạm vi hệ thống và các tác nhân tương tác.;Thiết kế cơ sở dữ liệu.;Thể hiện kiến trúc phần cứng.;B;1
Tại sao cần thiết kế hệ thống trước khi lập trình?;Để tiết kiệm thời gian viết mã.;Để đảm bảo kiến trúc ổn định và dễ bảo trì.;Để tăng số lượng mã nguồn.;Để không cần phải kiểm thử.;B;1
Ưu điểm của phương pháp phát triển Agile là gì?;Tài liệu hóa chi tiết ngay từ đầu.;Khả năng thích nghi nhanh với thay đổi.;Không cần họp nhóm.;Chỉ dành cho các dự án lớn.;B;1
"Mối quan hệ ""Generalization"" trong UML tương đương với khái niệm nào?";Kế thừa (Inheritance);Đa hình;Đóng gói;Trừu tượng hóa;A;1
Mô hình xoắn ốc (Spiral Model) nhấn mạnh vào yếu tố nào?;Tốc độ viết mã.;Quản lý rủi ro.;Giao diện người dùng.;Độ phức tạp của thuật toán.;B;1
Trong UML, biểu đồ nào dùng để mô tả vòng đời của một đối tượng?;Biểu đồ trạng thái (Statechart);Biểu đồ lớp;Biểu đồ Use Case;Biểu đồ thành phần;A;1
Kỹ nghệ phần mềm khác với lập trình ở điểm nào?;Lập trình chỉ là một phần nhỏ trong kỹ nghệ phần mềm.;Kỹ nghệ phần mềm không cần lập trình.;Lập trình khó hơn.;Kỹ nghệ phần mềm không dùng máy tính.;A;1
Đâu là một thành phần của thiết kế hệ thống?;Thiết kế cơ sở dữ liệu và giao diện.;Viết tài liệu quảng cáo.;Thương thảo giá hợp đồng.;Tuyển dụng lập trình viên.;A;1
Mục đích của việc kiểm thử phần mềm là gì?;Viết thêm tính năng.;Tìm lỗi và đảm bảo phần mềm đúng yêu cầu.;Thay đổi yêu cầu khách hàng.;Đóng gói phần mềm.;B;1
"Thế nào là ""đóng gói"" (Encapsulation) trong hướng đối tượng?";Che giấu dữ liệu và chi tiết thực hiện bên trong đối tượng.;Cho phép nhiều lớp kế thừa.;Là quá trình sao chép đối tượng.;Là viết mã nguồn nhanh.;A;1
Biểu đồ thành phần (Component Diagram) thể hiện điều gì?;Cấu trúc vật lý của hệ thống.;Hành vi người dùng.;Các bước thực hiện chức năng.;Thời gian thực thi.;A;1
Yêu cầu người dùng (User Requirements) thường được viết dưới dạng nào?;Ngôn ngữ tự nhiên.;Mã giả.;Ngôn ngữ máy.;Mã nhị phân.;A;1
Thiết kế hệ thống mức cao (High-level design) tập trung vào?;Kiến trúc tổng thể của hệ thống.;Chi tiết từng hàm.;Màu sắc của nút bấm.;Tên biến trong code.;A;1
Trong UML, ký hiệu nào dùng cho tác nhân (Actor)?;Hình chữ nhật;Hình tròn;Hình người;Hình thoi;C;1
Điểm yếu chính của mô hình Waterfall là gì?;Khó quay lại pha trước nếu phát hiện lỗi.;Dễ quản lý.;Chi phí thấp.;Phù hợp dự án lớn.;A;1
Biểu đồ nào trong UML cho biết phần mềm chạy trên phần cứng nào?;Biểu đồ triển khai (Deployment);Biểu đồ tuần tự;Biểu đồ lớp;Biểu đồ Use Case;A;1
Trừu tượng hóa (Abstraction) trong thiết kế có ý nghĩa là?;Tập trung vào các chi tiết không quan trọng.;Bỏ qua các chi tiết phức tạp, chỉ giữ lại tính chất quan trọng.;Xóa bỏ chức năng của hệ thống.;Viết code khó hiểu.;B;1
"Mối quan hệ ""Association"" giữa hai lớp thể hiện?";Sự phụ thuộc vật lý.;Sự kết nối về mặt ngữ nghĩa.;Sự kế thừa.;Sự gộp nhóm.;B;1
Tài liệu SRS là viết tắt của?;Software Requirement Specification.;System Research System.;Simple Requirement Software.;Standard Requirement System.;A;1
"Nguyên tắc ""Đơn trách nhiệm"" (Single Responsibility) nghĩa là gì?";Một lớp chỉ nên có một lý do để thay đổi.;Một lớp phải làm mọi việc.;Chỉ dùng cho ngôn ngữ Java.;Không cần thiết kế.;A;1
Khi nào thì sử dụng biểu đồ tuần tự?;Khi cần thể hiện sự tương tác theo thời gian.;Khi cần vẽ cơ sở dữ liệu.;Khi cần mô tả cấu trúc vật lý.;Khi cần thiết kế giao diện.;A;1
Biểu đồ gói (Package Diagram) dùng để?;Tổ chức các thành phần hệ thống vào các nhóm logic.;Mô tả luồng dữ liệu.;Viết mã nguồn.;Thiết kế màn hình.;A;1
Tại sao cần thực hiện phân tích hệ thống?;Để hiểu rõ bài toán cần giải quyết.;Để bắt đầu viết code ngay.;Để bán phần mềm.;Để thiết kế logo.;A;1
